Shipping_ID,Shipment Date,Plant_ID,Sales_ID,Shipping Quantity,Shipping Method,Delivery Status,Tracking Number
1eee91f6-9feb,2024-01-06,005M,8040c201-6a53,3.0,Air,Pending,6d16b1ca-5adf-45f0
5f2267c9-3bea,2024-03-13,001P,0c5b012a-701f,8.0,Land,Delivered,1db94be0-7dc2-42c4
4c50525f-8719,2023-09-13,004U,4c34d95d-19b8,1.0,Sea,Pending,8b45f98f-0c2b-430f
ed0333f5-8eba,2024-04-09,006P,6cb47d41-a585,6.0,Land,Pending,9d495806-a09a-4f36
9e7c5976-f63a,2024-04-16,001C,6312394b-44ff,1.0,Air,Delivered,8c9c9af5-06ea-4ff2
ab1c71e3-6f73,2024-04-10,006P,e2019d3d-f0dd,7.0,Land,In Transit,52a0d6f7-90e9-43d7
17741cae-00f9,2023-09-26,006P,66c06c51-4d72,3.0,Air,Delivered,1f74e04c-0a13-4558
e4f22597-4a9c,2023-12-14,004U,70f93398-5491,,Land,Pending,dc193468-f2e4-4cbd
1fc1ae22-b5fa,2024-01-04,004U,99b417bc-265e,3.0,Land,Pending,19251bb5-96fe-4985
a7a9b141-57e5,2024-03-10,006P,9d226308-a659,2.0,Air,In Transit,1ffa411f-494f-4ab9
33aadacf-2b13,2023-07-05,004U,8a68d141-58f5,1.0,Air,In Transit,43edf4e7-f62a-4974
e71a673e-3df2,2024-02-25,004U,2c235aa8-67ce,0.0,Sea,Delayed,261d8746-599b-49af
8b3e22c7-70a4,2023-08-30,001P,732dd728-3fea,0.0,Sea,Delayed,b7857165-489d-4bf5
a4febda1-0a92,2024-04-10,005M,98021f4c-6ecd,4.0,Land,Delivered,e3b9ae90-fb52-4dcb
5e8856c2-12b7,2023-12-31,001C,f1f08e8d-c2f3,,Air,In Transit,e8d20101-a574-4bf6
1593097b-193b,2023-08-13,005M,fb45e830-f830,5.0,Air,Pending,0621a4e1-b9ff-4c68
c3e6e3da-b246,2023-09-23,003C,669eac25-1718,14.0,Land,Pending,fcea45c8-4db0-4c06
6c5388a5-9e8b,2024-02-08,001E,5c3be044-9a22,0.0,Sea,Delayed,c30c31ce-5ad1-455e
6501ca4c-c270,2024-02-14,003C,16723fb7-cefc,0.0,Sea,Delayed,d120ac8d-44a5-4c69
92ab6075-282c,2023-11-12,003B,5950e37b-8cbd,3.0,Sea,Pending,35144f79-1b3c-4d8c
d7ff3d61-6e49,2024-04-26,002P,a0f3442c-716f,,Air,In Transit,4d41d3de-564c-4de4
a2a1cd35-1e95,2024-01-21,001P,09e89a34-d393,8.0,Air,In Transit,4cbc06a9-65b6-41e7
088381dd-c1f4,2024-02-18,001P,3662ba71-f33b,0.0,Air,Delayed,0566ca0a-82bc-4bcc
e7111ec7-32a3,2024-02-16,001C,430c94b4-79e2,5.0,Land,Pending,0cee2396-a50c-4460
bc343f38-8fbf,2023-09-01,006P,f50fe19e-7d5f,,Air,Delivered,a45fd241-b6a7-4363
0b320306-9d86,2024-04-14,005M,31fe509b-7643,2.0,Air,Pending,71585e97-0243-4d77
f533cb74-006b,2023-09-06,004U,60c93e0c-ff08,10.0,Land,In Transit,9c2fda50-690f-4bcd
881a49da-3b59,2024-01-05,003C,0d3e3e2d-8bc3,12.0,Air,Delivered,e046911a-955c-45bf
8ebca75a-33d5,2023-06-18,003C,de78ff0b-c414,11.0,Sea,Delivered,5459ef51-9941-4ef9
b4c0ffac-56ad,2023-09-30,001E,9e642f76-2d88,0.0,Land,Delayed,525ce7a2-4e5c-49db
ecde0885-eebd,2024-01-24,005M,a95f27d2-445f,5.0,Sea,Pending,3e28ae3d-46db-4fca
5884223e-3f23,2023-09-20,002P,bf462f4e-0ca0,0.0,Land,Delayed,18303398-9660-4884
a4388c24-7916,2023-07-15,005M,3fde5af9-a5b1,0.0,Air,Delayed,c746baaf-4d6d-45ec
28be51dc-e4f0,2023-09-25,003B,248e15b6-86c5,1.0,Air,In Transit,2cd4bbd1-8460-45dd
2f34b200-dea7,2023-08-08,003C,a7e651f6-d2d4,4.0,Land,Pending,c4708cb1-89df-41e7
b61e5d77-919d,2024-01-28,003B,f57fbbc5-284e,11.0,Sea,In Transit,456db773-cfdf-453a
ac61655a-1b1a,2023-09-10,006P,e7621ceb-8483,1.0,Air,In Transit,00f3f8a2-6d1d-46a0
ba8bc96b-1ad3,2023-09-23,004U,2aeb78cd-5cf9,0.0,Land,Delayed,9b4e4fef-8869-478a
5858751f-1b5b,2024-03-05,003C,39553396-485a,12.0,Land,Pending,6a61ff2a-dcda-4899
6bfb8e9a-dd39,2024-03-23,002P,7614a18b-3c52,,Sea,In Transit,2a535a13-74e9-4579
2899e10e-c4c5,2024-04-11,005M,f6595b7b-80be,14.0,Air,Pending,9ad53bba-5738-45c6
5ed006ea-95c3,2024-04-09,005M,90d7aa03-f987,1.0,Air,Delivered,2f511a99-0394-4c5d
5e4c6ffb-a214,2024-01-13,001P,7decd848-de93,5.0,Air,Delivered,f77e4843-b65b-4b18
c4b53609-790c,2023-10-04,005M,7d514b3d-32d5,1.0,Land,Pending,ba8682bf-9c7e-45d1
716ccda8-10b9,2023-07-26,002P,dfbf46a4-620a,10.0,Land,In Transit,f62bd9da-f6a8-44dc
886e68f9-aff0,2024-02-14,001P,ffcbd1d6-90ff,7.0,Sea,Delivered,a95760ed-f9e5-4f9f
487ad9d5-1b24,2023-12-16,001P,57419e75-aee5,,Air,In Transit,0c559140-25f3-49be
c24ebedb-7734,2023-10-16,001C,f566488f-18cc,0.0,Sea,Delayed,524d6fb9-2dcc-4b54
b21ab3f3-475c,2024-01-30,004U,6937c9fa-b5e3,6.0,Air,Pending,317223fe-2e04-4a67
5f939c01-6e37,2023-06-29,001E,8e60ec4d-3737,2.0,Sea,Pending,5846f2a3-8d3e-40a6
65576959-a91c,2023-10-29,004U,71ea5b63-9215,,Sea,Delivered,7a991318-a9da-41a4
7dc958f9-1681,2023-09-13,003C,85b0a2a5-da85,7.0,Land,Delivered,fb66e091-d250-4083
f39b12db-f2e9,2023-11-12,001E,7a4499de-204e,4.0,Land,In Transit,94d8d090-2520-43a9
367828c7-0332,2023-08-16,003C,aaae1f3a-e84a,4.0,Sea,In Transit,d53882e9-406f-4a26
caddeb47-8a17,2023-07-18,001P,eadbb7aa-8f84,5.0,Air,Delivered,fb162ea3-efb5-465d
94fd5b3d-0e88,2023-10-04,001C,6f7d6b5c-a538,5.0,Sea,In Transit,a1265fc8-212e-4804
a4f3fffd-ca92,2024-02-19,004U,562342f6-333f,,Land,In Transit,875f03a9-c0ae-429f
7fcd7033-4ec5,2023-09-04,004U,dc71198f-6b65,5.0,Sea,In Transit,e5816cb2-0b25-4fa5
babaa319-1d36,2024-04-26,002P,b359338c-4e9c,2.0,Land,Delivered,e45964bc-45ee-4bd2
e68c96cb-e55a,2023-11-04,003B,438c7c3c-386c,0.0,Land,Delayed,4802c186-8355-45af
d7503bc6-ef6a,2024-02-08,004U,159fda08-0a3c,2.0,Sea,In Transit,83bc071a-39ad-4673
0d5be06f-5abb,2023-11-20,001E,fed59d18-7e0f,3.0,Land,In Transit,3a218d0b-339e-45d0
75ebd69e-2859,2024-02-11,001C,05f55822-c8e9,1.0,Land,Delivered,9c154f58-d361-491d
d556bcf6-9f64,2023-12-10,005M,0891f7ab-1936,9.0,Land,Pending,2b3d7c8a-9018-47a5
1fb0ed28-b6a0,2024-02-05,002P,083dbd9d-884a,1.0,Land,Delivered,9c2e9a4d-0ad4-47b3
fff338a0-6ce0,2024-01-19,001C,666ef9b3-9725,2.0,Air,In Transit,ccd0c702-7aa8-45db
2c03231a-8794,2023-06-22,002P,93554863-9e57,0.0,Sea,Delayed,d8ef2021-767e-451b
7eb3ee62-0540,2024-04-11,004U,3dc8bb23-5c5f,2.0,Air,In Transit,c2a0a3e9-97c1-41f1
b8f02e0e-1709,2023-10-15,005M,dc39de9b-430e,14.0,Land,Pending,fb030e3e-60fd-4614
94a51b41-6d1f,2024-04-25,003C,e38ac3d7-1efb,9.0,Air,Delivered,a46d8312-8110-464a
2430316e-014b,2023-12-31,001C,554b2c4c-64e5,10.0,Sea,In Transit,9512f775-d450-4c96
6e562812-07e1,2024-02-08,002P,d336a120-4f2f,6.0,Air,Pending,10ebe4a8-076b-4749
da4f8487-21e8,2023-10-28,005M,a636689a-f88d,,Air,In Transit,3c98d3d9-12a2-4e00
9de4cdd6-1a53,2023-11-17,002P,19c410d1-d1b3,3.0,Sea,Pending,6242857a-9a22-48c5
0c34efff-88ab,2024-04-13,001E,5cc46bb0-dc8a,,Air,Pending,7fc949b4-335c-467a
0e67ef79-8435,2023-12-02,005M,eb1845a2-9ca9,4.0,Land,Pending,2a03c419-6a98-4336
f9ed9985-e636,2023-06-19,003B,c9299c58-e5b2,2.0,Land,In Transit,fb68df4f-0296-4dc1
fd56c41f-236c,2024-02-06,002P,398cc093-b6e8,1.0,Air,Pending,3347bdf7-1dec-41b0
c051ced1-e2c5,2023-12-15,003C,16d6a8b6-81a4,4.0,Land,Delivered,0b856764-e9a6-4ba0
8790b63c-d9ad,2024-01-22,002P,4fa55abe-6f0d,5.0,Sea,Delivered,70e07199-fd84-4c70
48f922eb-9e2c,2023-08-14,003B,1dda17c3-d275,,Sea,In Transit,a10b4983-730f-46f8
bdcd967f-0e95,2023-10-24,002P,c48e2077-c5aa,1.0,Land,In Transit,187b12ea-cb38-41a7
cf48215d-953b,2023-11-17,003B,aa38f2c8-4704,2.0,Air,Delivered,ba42d6b9-3f38-415a
3f782ced-7ab0,2023-07-06,005M,3c5eda15-29b1,2.0,Air,In Transit,2f33e8d3-22b8-4f8d
b87da72f-1863,2023-06-17,003B,f86b7b65-7514,3.0,Sea,Pending,bb379e35-5c47-4178
13bb3631-90cb,2023-08-06,005M,69059fdb-00d1,11.0,Sea,In Transit,80ea4562-5750-4fcc
c91b979f-73ee,2024-04-24,003C,3a4001f3-86e5,,Sea,In Transit,19851457-0516-4d38
d35bd404-d84e,2023-08-25,003B,e58cb88c-c0de,7.0,Land,Delivered,ce52d93c-3667-431f
e2d390c5-6287,2023-12-13,003C,85ff8e38-5ecd,11.0,Land,Pending,72dd2d33-fcc6-4699
41a904f2-5e4b,2024-04-02,003B,2ef56045-42bb,2.0,Land,In Transit,11a90ee7-9e85-4f0a
4c6f7388-0f3a,2023-09-01,002P,100cfca8-4900,0.0,Air,Delayed,f876138e-b81c-4a44
5a40a361-876a,2023-12-07,006P,35619c79-930c,12.0,Air,Delivered,bb6942f7-9097-499a
61ec3dc8-32a5,2023-09-14,001C,54687197-77d7,9.0,Land,In Transit,588537b4-b41d-4fac
f3c7b06d-0c1b,2023-08-03,003B,f3ce9468-2c0d,4.0,Sea,Delivered,6f263453-767c-493c
5b10c832-ac2e,2024-01-21,005M,f53d39f0-32f0,,Sea,Pending,5d7eec4b-c275-42f0
6b3499a7-5874,2024-02-04,002P,2143ee83-6aa0,0.0,Land,Delayed,020c5d7d-1d50-4749
f941c25b-0188,2024-01-12,002P,75009fd3-cd98,2.0,Air,In Transit,ffa4f210-66f9-47f9
60eeac4a-7dff,2023-06-04,004U,aa0f59ed-f5ad,7.0,Air,Delivered,d192b0a0-f8eb-487f
a7b80de4-4df8,2023-06-14,003C,436a5b52-36b2,,Air,Pending,57b85246-0c97-4611
b5bfebff-c35f,2023-07-06,006P,fe273a50-7529,4.0,Air,In Transit,5ad12412-b412-41bd
b3f9da0a-9610,2024-02-12,006P,6e48005c-312f,2.0,Sea,In Transit,d2833e2c-5c6d-47f9
3ef5bf9b-b43e,2023-07-25,002P,2509c5be-cec0,0.0,Air,Delayed,97e018ad-b93a-4e6f
556220dc-70c1,2023-10-09,003C,57bd7f37-b596,14.0,Sea,Delivered,830a8a32-2622-47ea
5eaa91e8-991f,2023-08-06,001P,5c29adb6-91a0,12.0,Sea,Delivered,8af494f0-b20a-485a
f9cef309-245e,2023-06-05,003B,0cc93aac-b392,2.0,Land,In Transit,b4f709f9-68b2-4fc6
1c1b9bbc-b401,2023-08-01,005M,bb8bdb74-c624,0.0,Air,Delayed,af7dc3d1-e3b3-4d86
5a13d1bd-4664,2023-12-21,003B,e59b4646-cfb4,0.0,Air,Delayed,5918fa28-e401-4448
299faae8-6b15,2023-07-11,005M,e6d45cfb-54fc,16.0,Land,Pending,8666ed44-57e1-4844
acfc818f-bd38,2023-08-26,001P,2c3ac24c-4e0c,3.0,Air,Delivered,f2fa1da0-06da-4a87
b35c5fd3-cfec,2024-04-07,003C,cab4a77b-6499,5.0,Land,Delivered,e23d45c1-75f5-429f
2165cbc4-584d,2023-06-28,002P,15fe5889-9a36,4.0,Air,In Transit,54f49b07-0cbf-483b
f2d3e05d-f7de,2023-12-21,003B,9abd7298-e793,,Air,Pending,72df056d-ec65-444b
8003b133-bc72,2023-07-29,001E,2b345930-c313,1.0,Sea,In Transit,07cd5ae3-5425-49d4
af00977f-5acb,2024-01-21,001E,51448170-9e82,7.0,Sea,Delivered,45463163-0177-44de
984761a7-eeda,2023-11-30,004U,3f4c2dca-7e8c,0.0,Land,Delayed,fa024f89-fddc-4d35
45074e33-6bc4,2023-08-08,001P,f9ce79e2-b5f7,15.0,Land,Delivered,091ca30f-fcb9-41ec
27ffa27a-d4c4,2024-02-16,001P,d6d43007-4158,11.0,Sea,Pending,d5e2b7a8-8bbb-4465
8f7b8b0d-c4cb,2023-07-23,002P,9043163c-17be,12.0,Air,In Transit,55d01964-d600-4050
dbd8bb74-b2a0,2024-03-03,001P,36e7a375-dd8a,,Sea,Delivered,40240e15-700a-4d80
bb781cf8-b497,2024-01-16,003C,d06b0d4e-19fb,0.0,Sea,Delayed,00c4aa87-9ad6-4db9
8ccf56a2-eb49,2023-12-08,003B,e6b67985-54d0,,Sea,In Transit,e5b1fd8c-2d5b-4342
b457c4e5-c3da,2024-03-11,001E,c3bb9cb7-237a,8.0,Air,Pending,4768b28f-7202-43c1
f1cc5b5f-8d06,2023-07-12,006P,e2a290c9-b061,0.0,Land,Delayed,b3a17f91-ca7c-4196
ac420707-d485,2024-04-13,001C,e4e444fd-3332,6.0,Sea,Pending,3bc0171a-c71f-485f
72de8c02-8280,2023-11-13,006P,237aab2e-f372,7.0,Land,In Transit,fb8e00d0-64fc-4d9b
23dc9dcf-776b,2024-01-15,003C,786b6220-e474,,Sea,Delivered,8d01a6ae-3082-466e
5bfc7786-8668,2023-08-16,005M,9ae20a26-e8b1,3.0,Sea,Pending,933b7a9d-52a1-46ae
d5070cbc-f195,2023-10-15,003B,1994a214-dd03,0.0,Land,Delayed,cdccd679-12fe-4aa0
b55a2367-6552,2023-09-19,003B,3f8ec30d-456a,1.0,Air,Pending,e5c8ccc5-922a-4e7b
3f21fca7-e5fe,2023-11-14,001C,6fb16c9d-62bd,2.0,Land,Delivered,ff1060bf-5a31-44ea
c9f53114-fa3e,2023-06-15,001E,ec7f78f0-b465,12.0,Air,Pending,bb5c1acf-7917-4824
bca03955-6ee7,2024-01-26,003C,a992f66e-6584,,Land,Delivered,e8ea2da6-3eeb-4ae2
9de41d45-45d4,2023-12-25,005M,9201edcf-2d74,16.0,Land,Pending,de738e63-b155-4463
3c14cf1b-7540,2023-09-28,001E,ea621205-47f9,10.0,Sea,Delivered,cf84546f-6fac-4a54
f8e7f074-6a21,2024-03-25,001E,59324379-e9ca,4.0,Air,Pending,0a7eae8b-c0fa-42c2
4374a31c-2bc7,2023-10-21,001E,8eb2780d-51cf,6.0,Land,In Transit,bf85dfc1-4b9d-4330
e8f83873-5187,2023-11-11,003C,4bbe728d-e4b2,1.0,Sea,Delivered,21cacb4f-515f-46a7
ed963e86-87ce,2024-04-02,003B,e896bd99-30ce,2.0,Sea,Delivered,a8c4f1b6-3fa7-414a
9542b780-2f06,2024-02-22,006P,0292a0ba-425f,1.0,Air,In Transit,4588a1ef-c780-4659
0561566a-6b77,2024-01-30,003C,6f2f2875-00dd,3.0,Land,Delivered,d6022706-b3ff-42f8
2391aa28-a362,2023-09-08,003B,ef1d3871-253c,8.0,Air,In Transit,d824cfdd-966d-4334
4f133b2d-f5c0,2023-08-19,001P,a68a1cc5-8557,5.0,Sea,Pending,b369a3b7-14cc-406e
3509ed2e-432d,2024-01-11,001P,09c76317-dc27,6.0,Land,Pending,b701d601-9a30-4506
d704fe31-96b8,2023-11-06,001C,303108e6-c4a4,,Air,In Transit,a2308b05-369f-44e5
c3b1fe4b-f76c,2023-06-14,004U,b7c1f9ba-65cc,2.0,Air,Pending,72bc48b1-d2a4-46cd
fb51a7a5-90d1,2024-02-24,001E,aeaeb334-3569,4.0,Land,Delivered,9f28202d-0279-41ed
7221414d-471d,2023-08-29,004U,2c895708-4712,10.0,Sea,In Transit,74b82a2b-e4f7-4540
839cd1b3-2f26,2024-02-05,004U,45e299d1-9eae,10.0,Land,Delivered,9a08f32c-31e2-4574
6aadd890-414b,2024-04-21,001P,74efaba4-850b,0.0,Air,Delayed,39fe270c-e5ad-4f6c
826abdfe-ba67,2024-03-18,002P,5f3a6643-794f,1.0,Land,Delivered,b46de29c-bdd8-4d42
dd4a4c4a-f7be,2023-06-16,003B,2ded7ebc-0f78,4.0,Air,Delivered,f92855b2-a56b-4484
c3d68191-6309,2023-09-03,002P,9e8ee342-99f9,3.0,Land,Pending,aa1d6366-ce0b-4947
128ff099-26f6,2023-10-13,002P,a4b74b09-17f9,3.0,Sea,Pending,064a3e6b-8b61-4fb4
f1c9900e-9ec8,2023-06-30,001C,0471449c-1f94,4.0,Air,Pending,f7cb380c-e711-45a8
e74af3f8-06cd,2023-07-07,005M,29e5c70d-7c68,,Sea,Delivered,02667b63-db57-49e7
4576c2ea-ffbd,2024-01-03,001C,13b9c6a0-7f71,0.0,Sea,Delayed,e01ab828-bff7-4b64
eaed8e7d-a671,2024-01-03,002P,c7107ed5-d148,17.0,Air,Pending,cc6ea545-8b06-41a9
78317b78-7877,2023-07-27,001E,23a0912c-07ce,11.0,Land,In Transit,e749aae6-de3c-4ac4
762b29a7-7595,2023-08-11,005M,072af9e9-8d23,8.0,Air,Delivered,ba7687e1-bb35-4bb7
f46a073c-ccdb,2023-06-03,001E,b96d5639-d51b,12.0,Air,Delivered,b6bcb595-aeb1-4bf6
740ef62a-46ae,2023-07-07,003B,fe2721a0-663b,4.0,Sea,In Transit,9a2276a4-baec-409f
7327023b-24c4,2024-02-06,001E,2f7667b9-addf,6.0,Air,Delivered,28d3346b-7855-4b77
998444f2-5368,2023-10-05,006P,62049cc4-0b02,4.0,Air,Pending,f2d76cc5-654c-439c
47cce416-2880,2023-10-06,001P,ac0a1310-4cc4,2.0,Air,Pending,588669fe-9a55-42cc
c7edfe4f-3bb6,2023-10-13,004U,2673d0d2-757e,,Air,Pending,0094c984-f1cb-4351
d5aaef1d-d7fd,2024-02-24,003C,bf38876a-7d5a,5.0,Land,Pending,1bfb14b4-df20-48af
be575136-06b7,2023-06-26,003B,10a8220a-6a2d,5.0,Land,Pending,a71040af-b561-4251
9302ef93-9e4e,2023-11-11,003B,959d389c-a2e2,0.0,Sea,Delayed,7ed54838-e36f-4488
2ced0344-f1c4,2024-02-02,002P,52e830a2-b777,0.0,Land,Delayed,ac19e265-ef36-4d55
954e4158-14a1,2023-11-17,003C,128cc075-9927,6.0,Sea,In Transit,b190149d-bb74-4372
e5dbf731-785c,2023-09-02,001P,f06336f1-1bc1,4.0,Sea,In Transit,087a1774-f42f-48aa
ba93064a-1451,2024-01-14,003C,b045aa6e-11af,3.0,Air,Delivered,8135b254-64b5-4799
d82ddc72-4114,2023-06-23,005M,c4f8dfa1-2f8b,11.0,Sea,Delivered,2d249f74-5818-43fe
e4fa778c-49c5,2023-12-22,001E,19e2a1c6-047f,1.0,Air,In Transit,50a1c331-2cea-4d65
0cbdbade-0ac2,2023-07-18,006P,4742d983-1b16,16.0,Sea,Pending,e1cd1da0-58d4-424e
ca010b6a-9b78,2024-02-04,005M,c2343af1-bfad,1.0,Sea,In Transit,4870364b-cab3-40ae
41d5a361-abef,2024-03-03,002P,f44d375c-935f,5.0,Land,Pending,27078f31-b725-46b8
2e90876b-728a,2024-01-17,003C,6cde17a6-3993,12.0,Land,In Transit,6ea01cf9-0801-48ea
ec35ff42-899b,2023-07-09,004U,0fd3df03-b93d,16.0,Sea,Pending,2e93359a-15a2-421d
8af961c9-548b,2024-01-30,001E,b52b3175-1c9f,8.0,Sea,In Transit,6e0ebe83-47e8-4edc
a60aa0b1-8fd2,2023-06-08,001E,e8d4b4c0-661f,12.0,Sea,Delivered,53dc6f05-4f18-4207
1446d1a8-f428,2023-06-26,003C,8ce6d708-fd27,15.0,Air,Delivered,c12735c2-638d-42b9
b9e92612-42f1,2024-03-06,005M,158203e6-03a2,3.0,Air,Pending,bcd10e73-f4f0-42bf
b8c11d9e-7f5e,2024-02-01,005M,6edf9d9d-fc01,1.0,Land,Pending,05833a48-e475-4642
60b7d94b-0954,2023-09-07,001C,694ceab4-a892,4.0,Sea,In Transit,d382948c-981c-4aa7
90cfb029-3a37,2023-12-07,001C,0bbcefb1-a468,2.0,Air,Pending,e9635fd2-e1cb-491f
da633208-a0ba,2024-02-23,006P,468597ed-7b66,0.0,Air,Delayed,988eb56c-da41-44f0
d309460d-537d,2023-11-21,003C,80df741c-d612,4.0,Air,Delivered,264fbb0c-75e6-43e2
8f157902-43d4,2023-12-08,001C,88b70b3a-a479,,Sea,Pending,098d64d7-72a6-430a
9d8e5945-dbda,2023-08-27,006P,44194f0a-b4f3,3.0,Air,Delivered,0e2640d4-4908-4acf
02275b9c-e612,2024-03-19,001C,99a281d5-12c3,5.0,Sea,In Transit,52d11a70-85bf-4177
1547d54f-18d3,2024-04-07,001C,813b7f07-08c9,14.0,Sea,In Transit,2530effa-0e7f-41d6
f2fe644c-dc16,2023-06-23,003C,9fa964c1-c48e,11.0,Land,Pending,2b685dfd-59a4-4acf
7ce840e8-522d,2024-03-27,006P,36ec225c-5171,5.0,Air,Pending,69c10418-83f2-4a5f
ee1b6f7c-aab2,2024-04-12,003C,8d99f5b5-abf8,3.0,Air,Delivered,7a3ae9eb-e5b0-4cb2
62653881-4481,2024-01-28,005M,2a05b070-ff76,4.0,Air,Pending,507024bd-3cc7-4376
d4a9e66d-9380,2024-03-25,001C,dac7caab-415a,10.0,Sea,Pending,8d8b26f4-96ac-4d23
080f23f6-cf23,2023-11-07,004U,35a92116-deb1,11.0,Sea,Pending,a8f3407f-f49d-4d15
0ac51909-e72f,2023-06-07,006P,c415ffeb-61dd,0.0,Land,Delayed,1d51f5ff-f673-4d3f
326f0f30-7052,2024-03-14,001C,b12c5bb5-7b4e,15.0,Sea,Pending,0d52375e-5b32-4bcb
85877cae-2879,2023-08-05,001C,ed7c747a-1ab1,,Sea,In Transit,6a0b8145-4d91-46c5
eb8359a9-a1fb,2023-07-01,001P,b5a4a32d-6ea3,2.0,Sea,Pending,ac2f887d-492e-4a40
836e87e3-65be,2023-10-18,006P,5b9fd11e-a42c,2.0,Sea,Delivered,d04e0ecf-0037-4b80
b7da6314-ccac,2023-08-29,003C,46fa0c0b-807c,19.0,Land,In Transit,606e42ce-b2c4-4ea1
8336a097-b726,2023-08-02,005M,16e6f96a-59cf,1.0,Sea,In Transit,d234bd03-13dc-4b41
bd9dac29-4078,2024-01-17,001P,c729612c-d6e3,4.0,Air,Pending,f4d3825a-0c19-44ac
65d59e8e-40c7,2023-07-26,005M,78cb95b6-7854,4.0,Sea,Delivered,3f35e202-7f56-4b0d
42deef6d-ea41,2024-03-21,005M,50452d76-fa51,4.0,Land,In Transit,2046491b-4f29-4716
7602c61e-f08c,2024-01-25,001E,18c5fbcb-8ea6,1.0,Sea,Delivered,6f829b0b-9e38-4d3c
d8b95526-7ca7,2024-01-17,001E,0d6272c2-a5e3,9.0,Sea,Pending,f25dc12c-129f-494d
bb8aeaa2-923e,2023-07-31,004U,03eddb9a-f2ff,0.0,Sea,Delayed,6a288729-0389-44af
d88361e2-2166,2023-09-05,003B,c9962c3f-3109,15.0,Land,Delivered,8d4f12b2-7d45-4f2b
9404753e-f308,2023-10-27,001E,3eeb2f84-3760,3.0,Air,Delivered,5c29d135-cbef-4b23
3abb422e-19b6,2023-08-18,003B,b21ccae1-6931,8.0,Air,In Transit,9706ba7d-a85d-4769
418f64ad-ec3c,2024-04-09,004U,aab82829-c670,0.0,Sea,Delayed,8c95834a-9998-464e
04576817-9ed0,2023-12-11,001C,d3769e49-26f6,9.0,Land,Delivered,0f64bd3b-0221-44fe
634c0690-c88c,2024-01-29,003B,76d57747-6338,3.0,Sea,Pending,5d7bc1e0-004f-4693
ca9ec8e4-9d0f,2024-01-04,001C,76e434c2-916c,18.0,Air,Pending,f099fe84-337a-4df3
0c37f601-8ac6,2023-12-25,006P,76bd591c-38c2,1.0,Air,Delivered,d44cd793-f1de-4346
e6550d16-55ed,2023-08-13,001C,d7b0caa4-bb6d,7.0,Sea,Pending,aa1aa4a0-c8d7-4d6e
93b0146a-4d17,2023-12-27,001P,a7f000e4-7aca,4.0,Land,Pending,c36863b2-48ed-478e
35b13fd4-390e,2023-10-07,001C,d647ea3e-b006,2.0,Land,Pending,b750a9cc-921e-4ff4
4657e815-f7f2,2023-09-17,006P,3423dc34-e99d,4.0,Sea,Delivered,5e0b6fdc-9bdf-4e79
2fef4a7a-9858,2023-12-23,002P,f9ec7375-a2f5,,Air,In Transit,3a55fcb7-96ef-4079
939aa831-61a1,2023-08-02,005M,a1f1e71c-cdea,,Sea,Delivered,59fe61d9-6e36-4cb6
9b01b1f2-5d22,2023-11-11,001P,766a750b-9639,2.0,Air,Delivered,c5304f98-1f8a-4e8c
f0bd3e44-3883,2023-11-30,001C,ca91835e-b7ee,17.0,Air,Pending,d5cde16e-9722-4d20
